,Second Condition,Make,Model,Year of Manufacture,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Color,Interior Color,Seats,Registered Car,Exchange Possible,Price,Location,VIN Chassis number,Registered city,Selling Condition,Bought Condition
61,No faults,Mercedes-Benz,GLK-Class,2015,Base GLK 350 4dr AWD 4MATIC (3.5L 6cyl 7A),SUV,All Wheel,3500 cc,6,302 hp,Gray,Black,5,No,No,27000000.0,Lagos,,,,
62,,Lexus,ES,2008,350,,,,,,Silver,,,Yes,,7500000.0,Edo,,,,
63,,Toyota,Camry,2008,LE 4dr Sedan (2.4L 4cyl 5A),Sedan,Front,2400 cc,4,158 hp,Gray,Other,5,Yes,,6800000.0,Abuja,,,,
64,No faults,Honda,Pilot,2004,,,,,,,Gray,Gray,,Yes,,3750000.0,Lagos,,,,
65,,Toyota,Camry,2012,LE 4dr Sedan (2.5L 4cyl 6A),Sedan,Front,2500 cc,4,178 hp,Gold,Beige,5,No,,13000000.0,Abuja,,,,
66,"First owner, First registration, No faults",Honda,Accord,2008,,,,,,,Silver,Gray,,Yes,Yes,5350000.0,Lagos,,,,
67,"Original parts, Unpainted, No faults",Toyota,Highlander,2016,XLE V6 4x4 (3.5L 6cyl 6A),SUV,All Wheel,3500 cc,6,270 hp,Other,Black,7,No,Yes,29500000.0,Oyo,,,,
68,No faults,Hyundai,Veloster,2013,Veloster (Standard),Coupe,Front Wheel,1600 cc,4,138 hp,Orange,Black,5,No,No,12900000.0,Abuja,,,,
69,"First owner, First registration, No faults",Kia,Opirus,2005,3.5 V6 EX,,,,,,Silver,Gray,,Yes,Yes,2200000.0,Lagos,,,,
70,,Toyota,Camry,2000,,,,,,,Brown,Beige,,Yes,,2500000.0,Lagos,,,,
71,No faults,Lexus,RX,2005,,,,,,,Gray,Gray,,Yes,Yes,8300000.0,Lagos,,,,
72,,Toyota,Camry,2016,,,,,,,Blue,,,,,18000000.0,Abuja,,,,
73,No faults,Toyota,Venza,2015,,,,,,,Black,Black,,Yes,,18500000.0,Abuja,,,,
74,No faults,Acura,MDX,2009,,,,,,,Other,Other,,No,,8500000.0,Lagos,,,,
75,,Toyota,Land Cruiser,2022,3.5 Petrol 4WD,SUV,All Wheel,3400 cc,6,415 hp,Black,,5,No,,145000000.0,Abuja,,,,
76,No faults,Toyota,Highlander,2005,Limited V6,SUV,,3300 cc,6,233 hp,Gold,Other,7,Yes,,5300000.0,Enugu,2HGBJ61JXMN******,,,
77,Unpainted,Toyota,Camry,2014,SE 4dr Sedan (3.5L 6cyl 6A),Sedan,Front,3500 cc,6,268 hp,Red,Brown,5,Yes,,12500000.0,Abuja,,,,
78,"First owner, First registration, No faults",Toyota,Camry,2013,,,,,,,Gray,Black,,Yes,Yes,11500000.0,Lagos,,,,
79,"No faults, Unpainted, Original parts",Toyota,Tacoma,2015,PreRunner V6 4dr Double Cab 5.0 ft. SB (4.0L 6cyl 5A),Pickup,Rear Wheel,4000 cc,6,236 hp,Silver,,,Yes,,18500000.0,Lagos,,,,
